Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.5,-93.75,180.0,top
C2,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.5,-93.5,-90.0,top
C3,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.25,-94.0,0.0,top
C4,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.5,-91.5,180.0,top
C5,4.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.2,-99.8,180.0,top
CN2,XY308-2.54-4P,CONN-TH_XY308-2.54-4P,128.35,-106.4,180.0,top
IC1,A1304ELHLX-T,SOT95P285X113-3M,128.4,-96.1,0.0,top
R1,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.8,-99.8,0.0,top
U1,TLV73333PDBV,SOT-23-5,134.25,-91.0,0.0,top
U2,LTST-A683CEGBW1,LTST-A683CEGBW,128.4,-91.0,0.0,top
U3,2.54-3P,CONN-TH_2.54-3P,128.4,-83.0,180.0,top
