Comment,Designator,Footprint,LCSC
22,"R3,R4",R_0402_1005Metric,C102906
1k,"R5,R7",R_0402_1005Metric,C11702
Conn_01x04,"J10,J11",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,C131334
Conn_01x02,"J12,J13",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
Conn_01x03,J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C131339
TLV73333PDBV,U2,SOT-23-5,C134139
27,"R1,R2",R_0402_1005Metric,C138021
Conn_01x04,J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
100n,"C1,C10,C11,C14,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525
15p,"C15,C16",C_0402_1005Metric,C1548
Conn_01x08,J6,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,C157974
Conn_01x05,"J1,J4",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
Conn_01x10,J7,JST_PH_B10B-PH-K_1x10_P2.00mm_Vertical,C158038
RP2040,U1,RP2040-QFN-56,C2040
10k,R6,R_0402_1005Metric,C25744
4.7K,"R8,R9",R_0402_1005Metric,C25900
SW_Push_Open,"SW1,SW2,SW3",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,C329185
Conn_02x10_Odd_Even,J8,PinHeader_2x10_P2.54mm_Vertical,C492427
1u,"C12,C13,C2,C8",C_0402_1005Metric,C52923
Conn_02x08_Counter_Clockwise,J3,JST_PUD_B16B-PUDSS_2x08_P2.00mm_Vertical,C704074
Crystal_GND24,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C90603
Screw_Terminal_01x05,J14,TerminalBlock_TE_282834-5_1x05_P2.54mm_Horizontal,C918123
W25Q128JVS,U3,SOP-8_5.28x5.23mm_P1.27mm,C97521
